#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:86 out:86 type:B dur:2 cpbdur:2 q:21.21 aq:15.42 tex:1772 mv:718 misc:358 imb:0 pmb:96 smb:414 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:21.22 aq:16.68 tex:527 mv:269 misc:268 imb:0 pmb:38 smb:472 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:21.19 aq:18.65 tex:787 mv:284 misc:297 imb:0 pmb:46 smb:464 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:21.09 aq:11.08 tex:27420 mv:956 misc:280 imb:2 pmb:174 smb:334 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:21.13 aq:15.38 tex:856 mv:716 misc:372 imb:0 pmb:89 smb:421 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:21.15 aq:17.68 tex:788 mv:378 misc:274 imb:0 pmb:48 smb:462 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:21.11 aq:17.21 tex:614 mv:330 misc:312 imb:0 pmb:51 smb:459 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:21.04 aq:10.51 tex:26645 mv:910 misc:309 imb:4 pmb:168 smb:338 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:21.07 aq:16.71 tex:1692 mv:643 misc:353 imb:0 pmb:91 smb:419 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:21.08 aq:16.48 tex:911 mv:334 misc:307 imb:1 pmb:45 smb:464 d:- ref:0 ;
